"country","date","cases","deaths","schools","events","gatherings","venues","borders","lockdown","homeoffice","new_cases","incidence_rate","weekday","country_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday"
"Austria",2020-02-24,NA,0,0,0,0,0,0,0,0,2,NA,"Monday",1,1,0,0,0,0,0,0
"Austria",2020-02-25,2,0,0,0,0,0,0,0,0,0,0,"Tuesday",1,0,1,0,0,0,0,0
"Austria",2020-02-26,2,0,0,0,0,0,0,0,0,1,0.5,"Wednesday",1,0,0,1,0,0,0,0
"Austria",2020-02-27,3,0,0,0,0,0,0,0,0,0,0,"Thursday",1,0,0,0,1,0,0,0
"Austria",2020-02-28,3,0,0,0,0,0,0,0,0,6,2,"Friday",1,0,0,0,0,1,0,0
"Austria",2020-02-29,9,0,0,0,0,0,0,0,0,5,0.555555555555556,"Saturday",1,0,0,0,0,0,1,0
"Austria",2020-03-01,14,0,0,0,0,0,0,0,0,4,0.285714285714286,"Sunday",1,0,0,0,0,0,0,1
"Austria",2020-03-02,18,0,0,0,0,0,0,0,0,3,0.166666666666667,"Monday",1,1,0,0,0,0,0,0
"Austria",2020-03-03,21,0,0,0,0,0,0,0,0,8,0.380952380952381,"Tuesday",1,0,1,0,0,0,0,0
"Austria",2020-03-04,29,0,0,0,0,0,0,0,0,12,0.413793103448276,"Wednesday",1,0,0,1,0,0,0,0
"Austria",2020-03-05,41,0,0,0,0,0,0,0,0,14,0.341463414634146,"Thursday",1,0,0,0,1,0,0,0
"Austria",2020-03-06,55,0,0,0,0,0,0,0,0,24,0.436363636363636,"Friday",1,0,0,0,0,1,0,0
"Austria",2020-03-07,79,0,0,0,0,0,0,0,0,25,0.316455696202532,"Saturday",1,0,0,0,0,0,1,0
"Austria",2020-03-08,104,0,0,0,0,0,0,0,0,27,0.259615384615385,"Sunday",1,0,0,0,0,0,0,1
"Austria",2020-03-09,131,0,0,0,0,0,0,0,0,51,0.389312977099237,"Monday",1,1,0,0,0,0,0,0
"Austria",2020-03-10,182,0,0,0,0,0,0,0,0,64,0.351648351648352,"Tuesday",1,0,1,0,0,0,0,0
"Austria",2020-03-11,246,0,0,1,0,0,0,0,0,56,0.227642276422764,"Wednesday",1,0,0,1,0,0,0,0
"Austria",2020-03-12,302,1,0,1,0,0,0,0,0,202,0.66887417218543,"Thursday",1,0,0,0,1,0,0,0
"Austria",2020-03-13,504,1,0,1,0,0,0,0,0,151,0.299603174603175,"Friday",1,0,0,0,0,1,0,0
"Austria",2020-03-14,655,1,0,1,0,0,0,0,0,205,0.312977099236641,"Saturday",1,0,0,0,0,0,1,0
"Austria",2020-03-15,860,1,0,1,0,0,0,0,0,158,0.183720930232558,"Sunday",1,0,0,0,0,0,0,1
"Austria",2020-03-16,1018,3,1,1,1,1,0,1,0,314,0.308447937131631,"Monday",1,1,0,0,0,0,0,0
"Austria",2020-03-17,1332,3,1,1,1,1,0,1,0,314,0.235735735735736,"Tuesday",1,0,1,0,0,0,0,0
"Austria",2020-03-18,1646,4,1,1,1,1,0,1,0,367,0.222964763061968,"Wednesday",1,0,0,1,0,0,0,0
"Austria",2020-03-19,2013,6,1,1,1,1,1,1,0,375,0.18628912071535,"Thursday",1,0,0,0,1,0,0,0
"Austria",2020-03-20,2388,6,1,1,1,1,1,1,0,426,0.178391959798995,"Friday",1,0,0,0,0,1,0,0
"Austria",2020-03-21,2814,8,1,1,1,1,1,1,0,768,0.272921108742004,"Saturday",1,0,0,0,0,0,1,0
"Austria",2020-03-22,3582,16,1,1,1,1,1,1,0,892,0.249022892238973,"Sunday",1,0,0,0,0,0,0,1
